mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
85761-22,Нет модификации,86:CF:ED:5D,2027-01-11T00:00:00Z,С-Т/12-01-2024/307878297,Пригодно,"""IWS-8""",Датчики комплексные параметров атмосферы,2024,"ФГУП ""ВНИИФТРИ""",True,1-307878297,2024-01-12T00:00:00Z,1788153287881523200,
64131-16,IWS-8,96:DE:CE:98,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914995,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914995,2024-01-10T00:00:00Z,1787807260480634880,
64131-16,IWS-8,0D:36:41:B2,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914994,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914994,2024-01-10T00:00:00Z,1787807260483780608,
64131-16,IWS-8,1C:A7:E5:1C,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914993,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914993,2024-01-10T00:00:00Z,1787807260492169216,
64131-16,IWS-8,16:8C:8C:00,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914992,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914992,2024-01-10T00:00:00Z,1787807260495314944,
64131-16,IWS-8,40:CB:64:CB,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914991,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914991,2024-01-10T00:00:00Z,1787807260498460672,
64131-16,IWS-8,EC:5D:F2:C1,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914990,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914990,2024-01-10T00:00:00Z,1787807260505800704,
64131-16,IWS-8,78:59:62:61,2025-01-09T00:00:00Z,С-ЕВЧ/10-01-2024/306914989,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2024,ООО «МетрЛифтСервис»,True,1-306914989,2024-01-10T00:00:00Z,1787807260841345024,
64131-16,IWS-2,EC:ED:5F:FF,2024-12-27T00:00:00Z,С-ЕВЧ/28-12-2023/305009177,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2023,ООО «МетрЛифтСервис»,True,1-305009177,2023-12-28T00:00:00Z,1786529170844549120,
64131-16,IWS-2,A9:DF:39:2B,2024-12-27T00:00:00Z,С-ЕВЧ/28-12-2023/305009176,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2023,ООО «МетрЛифтСервис»,True,1-305009176,2023-12-28T00:00:00Z,1786529170912706560,
64131-16,IWS-2,BD:05:36:0E,2024-12-25T00:00:00Z,С-В/26-12-2023/304741304,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-304741304,2023-12-26T00:00:00Z,1786439652295573504,
64131-16,IWS-2,EF:FE:AB:15,2024-12-25T00:00:00Z,С-В/26-12-2023/304741305,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-304741305,2023-12-26T00:00:00Z,1786439652298719232,
64131-16,IWS-2,9F:6B:DC:B2,2024-12-19T00:00:00Z,С-В/20-12-2023/303187939,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-303187939,2023-12-20T00:00:00Z,1785809374993711104,
64131-16,IWS-2,F7:E7:3F:73,2024-12-19T00:00:00Z,С-В/20-12-2023/303187938,Пригодно,"""IWS""",Датчики комплексные параметров атмосферы,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-303187938,2023-12-20T00:00:00Z,1785809374996856832,
