mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
63630-16,"IMETEOLABS PWS, модификация PWS 600",053987,2024-12-28T00:00:00Z,С-ЕВЧ/29-12-2023/305881070,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «МетрЛифтСервис»,True,1-305967020,2023-12-29T00:00:00Z,1787615509984837632,
63630-16,PWS 500,052783,2024-12-26T00:00:00Z,С-ЕВЧ/27-12-2023/304874391,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «МетрЛифтСервис»,True,1-304874391,2023-12-27T00:00:00Z,1786456751639363584,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053986,2024-12-25T00:00:00Z,С-ЕВЧ/26-12-2023/305049019,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «МетрЛифтСервис»,True,1-305049019,2023-12-26T00:00:00Z,1786540584634155008,
63630-16,"IMETEOLABS PWS, модификация PWS 500",053985,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303339330,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303339330,2023-12-20T00:00:00Z,1785887377250582528,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053984,2024-12-18T00:00:00Z,С-ЕВЧ/19-12-2023/303018822,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «МетрЛифтСервис»,True,1-303018822,2023-12-19T00:00:00Z,1785723487557517312,
63630-16,PWS 500,052782,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/302663189,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-302663189,2023-12-13T00:00:00Z,1785623177223733248,
63630-16,PWS 500,046919,2024-12-10T00:00:00Z,С-ДЮП/11-12-2023/300670859,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-300670859,2023-12-11T00:00:00Z,1784976010825957376,
63630-16,PWS 500,046920,2024-12-10T00:00:00Z,С-ДЮП/11-12-2023/300670863,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-300670863,2023-12-11T00:00:00Z,1784976010881531904,
63630-16,PWS 500,046918,2024-12-10T00:00:00Z,С-ДЮП/11-12-2023/300670861,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-300670861,2023-12-11T00:00:00Z,1784976010888871936,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053983,2024-12-07T00:00:00Z,С-ДЮП/08-12-2023/300849277,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-300849277,2023-12-08T00:00:00Z,1784998466089385984,
63630-16,PWS 600,039130,2024-12-06T00:00:00Z,С-В/07-12-2023/300861485,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-300861485,2023-12-07T00:00:00Z,1784999343746449408,
63630-16,"IMETEOLABS PWS, модификация PWS 500",051855,2024-11-30T00:00:00Z,С-ЕВЧ/01-12-2023/303471240,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «МетрЛифтСервис»,True,1-303471240,2023-12-01T00:00:00Z,1785914465694253056,
63630-16,PWS 500,051855,2024-11-30T00:00:00Z,С-ЕВЧ/01-12-2023/303471236,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,ООО «МетрЛифтСервис»,True,1-303471236,2023-12-01T00:00:00Z,1785914465817985024,
63630-16,"IMETEOLABS PWS, модификация PWS 600",053982,2024-11-28T00:00:00Z,С-ДИЭ/29-11-2023/298033455,Пригодно,IMETEOLABS PWS,Метеостанции автоматические,2023,"ООО ""ИНЭКС СЕРТ""",True,1-298033455,2023-11-29T00:00:00Z,1783926956832587776,
