mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
40331-14,Нет модификации,AP150805016,2025-01-11T00:00:00Z,С-В/12-01-2024/308534188,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-308534188,2024-01-12T00:00:00Z,1788249233935040512,
40331-14,Нет модификации,AZ170710004,2025-01-11T00:00:00Z,С-В/12-01-2024/308534189,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-308534189,2024-01-12T00:00:00Z,1788249233945526272,
40331-09,Нет модификации,А01101А021,2025-01-10T00:00:00Z,С-В/11-01-2024/307391449,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-307391449,2024-01-11T00:00:00Z,1787894375657766912,
40331-14,Vantage Pro2,ВЕ190828054,2025-01-08T00:00:00Z,С-БЯ/09-01-2024/306047262,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2024,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-306047262,2024-01-09T00:00:00Z,1787626983585218560,
40331-14,Vantage Pro2,AZ170810034,2024-12-28T00:00:00Z,С-МА/29-12-2023/306697714,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-306697714,2023-12-29T00:00:00Z,1787786250409738240,
40331-14,Vantage Pro2,AZ170810034,,И-МА/28-12-2023/306326916,Непригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",False,1-306326916,2023-12-28T00:00:00Z,1787703387286929408,
40331-14,Vantage Pro2,AZ170810034,2024-12-27T00:00:00Z,С-МА/28-12-2023/306326915,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-306326915,2023-12-28T00:00:00Z,1787703387291123712,
40331-14,Vantage Pro2,BE191017039,2024-12-27T00:00:00Z,С-МА/28-12-2023/304982999,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-304982999,2023-12-28T00:00:00Z,1786525191144210432,
40331-09,Vantage Pro2,A10208A035,2024-12-27T00:00:00Z,С-МА/28-12-2023/305070941,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-305070941,2023-12-28T00:00:00Z,1786546129363533824,
40331-14,нет модификации,BE180919036,2024-12-27T00:00:00Z,С-БАГ/28-12-2023/305980294,Пригодно,Vantage Pro2,Станции автоматические метеорологические,2023,"ФГБУ ""ГГО""",True,1-305980294,2023-12-28T00:00:00Z,1787616982924787712,
