mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
41440-09,WS300-UMB,029.0213.0812.034,2025-01-10T00:00:00Z,С-ВХН/11-01-2024/308425652,Пригодно,WS-UMB,Станции погодные автоматические,2024,"ФГБУ ""ГНМЦ"" МИНОБОРОНЫ РОССИИ",True,1-308425652,2024-01-11T00:00:00Z,1788243634885230592,
60696-15,WS500-UMB,256.0617.0813.224,2025-01-10T00:00:00Z,С-В/11-01-2024/307391446,Пригодно,WS-UMB,Станции погодные автоматические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-307391446,2024-01-11T00:00:00Z,1787894375685029888,
41440-09,WS300-UMB,008.0213.0812.034,2025-01-09T00:00:00Z,С-ВХН/10-01-2024/308425651,Пригодно,WS-UMB,Станции погодные автоматические,2024,"ФГБУ ""ГНМЦ"" МИНОБОРОНЫ РОССИИ",True,1-308425651,2024-01-10T00:00:00Z,1788243634875793408,
41440-09,WS300-UMB,255.0213.0812.035,2025-01-09T00:00:00Z,С-ВХН/10-01-2024/308425653,Пригодно,WS-UMB,Станции погодные автоматические,2024,"ФГБУ ""ГНМЦ"" МИНОБОРОНЫ РОССИИ",True,1-308425653,2024-01-10T00:00:00Z,1788243634906202112,
60696-15,Нет модификации,023.1017.0812.224,2024-12-27T00:00:00Z,С-Т/28-12-2023/305026066,Пригодно,WS-UMB,Станции погодные автоматические,2023,"ФГУП ""ВНИИФТРИ""",True,1-305026066,2023-12-28T00:00:00Z,1786534210347991040,
60696-15,Нет модификации,396.0917.0012.224,2024-12-27T00:00:00Z,С-Т/28-12-2023/305026061,Пригодно,WS-UMB,Станции погодные автоматические,2023,"ФГУП ""ВНИИФТРИ""",True,1-305026061,2023-12-28T00:00:00Z,1786534210425585664,
60696-15,Нет модификации,024.1017.0812.224,2024-12-27T00:00:00Z,С-Т/28-12-2023/305026062,Пригодно,WS-UMB,Станции погодные автоматические,2023,"ФГУП ""ВНИИФТРИ""",True,1-305026062,2023-12-28T00:00:00Z,1786534210433974272,
60696-15,Нет модификации,037.0617.0812.224,2024-12-27T00:00:00Z,С-Т/28-12-2023/305026064,Пригодно,WS-UMB,Станции погодные автоматические,2023,"ФГУП ""ВНИИФТРИ""",True,1-305026064,2023-12-28T00:00:00Z,1786534210450751488,
60696-15,Нет модификации,197.0617.0812.224,2024-12-27T00:00:00Z,С-Т/28-12-2023/305026048,Пригодно,WS-UMB,Станции погодные автоматические,2023,"ФГУП ""ВНИИФТРИ""",True,1-305026048,2023-12-28T00:00:00Z,1786534210899542016,
60696-15,Нет модификации,054.0617.0812.224,2024-12-27T00:00:00Z,С-Т/28-12-2023/305026055,Пригодно,WS-UMB,Станции погодные автоматические,2023,"ФГУП ""ВНИИФТРИ""",True,1-305026055,2023-12-28T00:00:00Z,1786534211056828416,
