mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
40333-09,Нет модификации,Н1770008,2025-01-10T00:00:00Z,С-В/11-01-2024/307391450,Пригодно,WXT520,Метеостанции автоматические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-307391450,2024-01-11T00:00:00Z,1787894368699416576,
65362-16,WXT536,P4810836,2025-01-10T00:00:00Z,С-В/11-01-2024/307391445,Пригодно,WXT530,Метеостанции автоматические,2024,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-307391445,2024-01-11T00:00:00Z,1787894368797982720,
65362-16,"WXT 530, модификации WXT536",S4730775,2025-01-08T00:00:00Z,С-БЯ/09-01-2024/306145482,Пригодно,WXT530,Метеостанции автоматические,2024,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-306145482,2024-01-09T00:00:00Z,1787691064894685184,
40333-09,WXT520,G0910021,2025-01-08T00:00:00Z,С-БЯ/09-01-2024/306361190,Пригодно,WXT520,Метеостанции автоматические,2024,"ФБУ ""САМАРСКИЙ ЦСМ""",True,1-306361190,2024-01-09T00:00:00Z,1787704962928607232,
65362-16,WXT536,T3850934,2024-12-25T00:00:00Z,С-ГОУ/26-12-2023/305935277,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГБУ ""ОБЬ-ИРТЫШСКОЕ УГМС""",True,1-305935277,2023-12-26T00:00:00Z,1787609476587585536,
40333-09,WXT520,D2850009,2024-12-25T00:00:00Z,С-БТЦ/26-12-2023/304817624,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-304817624,2023-12-26T00:00:00Z,1786447985140301824,
40333-09,WXT520,H3930004,2024-12-25T00:00:00Z,С-БТЦ/26-12-2023/304817620,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-304817620,2023-12-26T00:00:00Z,1786447985153933312,
40333-09,Нет модификации,D3210008,2024-12-24T00:00:00Z,С-В/25-12-2023/306038725,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-306038725,2023-12-25T00:00:00Z,1787624559264923648,
40333-14,Нет модификации,L2050117,2024-12-14T00:00:00Z,С-В/15-12-2023/303187948,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-303187948,2023-12-15T00:00:00Z,1785809375044042752,
40333-14,WXT520,N0720168,,И-БТЦ/14-12-2023/301750823,Непригодно,WXT520,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",False,1-301750823,2023-12-14T00:00:00Z,1785272426531127296,
65362-16,WXT530,S3340539,2024-12-10T00:00:00Z,С-ДЮП/11-12-2023/301310366,Пригодно,WXT530,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301310366,2023-12-11T00:00:00Z,1785143766910238720,
65362-16,WXT530 мод. WXT536,N4220037,2024-12-07T00:00:00Z,С-ДЮП/08-12-2023/301310365,Пригодно,WXT530,Метеостанции автоматические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301310365,2023-12-08T00:00:00Z,1785143766913384448,
65362-16,WXT536,R4230504,2024-12-06T00:00:00Z,С-В/07-12-2023/300861494,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-300861494,2023-12-07T00:00:00Z,1784999344366157824,
40333-14,WXT520,N0230379,2024-12-04T00:00:00Z,С-БТЦ/05-12-2023/299245732,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-299245732,2023-12-05T00:00:00Z,1784439348473626624,
40333-14,WXT520,N0230381,2024-12-04T00:00:00Z,С-БТЦ/05-12-2023/299245733,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-299245733,2023-12-05T00:00:00Z,1784439348484112384,
40333-14,WXT520,M0940360,2024-12-04T00:00:00Z,С-БТЦ/05-12-2023/299245734,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-299245734,2023-12-05T00:00:00Z,1784439348494598144,
65362-16,WXT536,V1630985,2024-12-04T00:00:00Z,С-БТЦ/05-12-2023/299306425,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-299306425,2023-12-05T00:00:00Z,1784445787224145920,
40333-14,Нет модификации,L2030293,2024-12-04T00:00:00Z,С-В/05-12-2023/299602175,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-299602175,2023-12-05T00:00:00Z,1784526474712186880,
65362-16,WXT536,S4410412,,И-В/04-12-2023/301746756,Непригодно,WXT530,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",False,1-301746756,2023-12-04T00:00:00Z,1785271949896712192,
65362-16,WXT536,V0530388,2024-11-29T00:00:00Z,С-БТЦ/30-11-2023/298238966,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-298238966,2023-11-30T00:00:00Z,1784003240014118912,
65362-16,WXT536,V0321501,2024-11-29T00:00:00Z,С-БТЦ/30-11-2023/298238967,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-298238967,2023-11-30T00:00:00Z,1784003240039284736,
65362-16,WXT536,R4040132,2024-11-28T00:00:00Z,С-БТЦ/29-11-2023/298238968,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-298238968,2023-11-29T00:00:00Z,1784003240042430464,
40333-14,Нет модификации,WXT520 - 40588,2024-11-28T00:00:00Z,С-В/29-11-2023/301746758,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301746758,2023-11-29T00:00:00Z,1785271949926072320,
40333-14,Нет модификации,L 45105457,2024-11-28T00:00:00Z,С-В/29-11-2023/301746757,Пригодно,WXT520,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301746757,2023-11-29T00:00:00Z,1785271949933412352,
65362-16,WXT536,S4450467,2024-11-28T00:00:00Z,С-В/29-11-2023/301746759,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301746759,2023-11-29T00:00:00Z,1785271949943898112,
65362-16,WXT536,S4610366,2024-11-28T00:00:00Z,С-В/29-11-2023/301746760,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301746760,2023-11-29T00:00:00Z,1785271949982695424,
65362-16,WXT536,S4410411,2024-11-27T00:00:00Z,С-В/28-11-2023/301746765,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301746765,2023-11-28T00:00:00Z,1785271949964869632,
65362-16,WXT536,S4520886,2024-11-27T00:00:00Z,С-В/28-11-2023/301746764,Пригодно,WXT530,Метеостанции автоматические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301746764,2023-11-28T00:00:00Z,1785271949969063936,
