mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_
76645-19,Нет модификации,0055220034,2024-11-29T00:00:00Z,С-В/30-11-2023/301567217,Пригодно,ДВН-02,Датчики направления ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567217,2023-11-30T00:00:00Z,1785189953739685888
76645-19,Нет модификации,0055220039,2024-11-29T00:00:00Z,С-В/30-11-2023/301567218,Пригодно,ДВН-02,Датчики направления ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567218,2023-11-30T00:00:00Z,1785189953750171648
76645-19,Нет модификации,0055230011,2024-11-29T00:00:00Z,С-В/30-11-2023/301567224,Пригодно,ДВН-02,Датчики направления ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567224,2023-11-30T00:00:00Z,1785189954144436224
76645-19,Нет модификации,0055230208,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791337,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791337,2023-11-29T00:00:00Z,1784990482057658368
76645-19,Нет модификации,0055230209,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791336,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791336,2023-11-29T00:00:00Z,1784990482064998400
76645-19,Нет модификации,0055230194,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791351,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791351,2023-11-29T00:00:00Z,1784990482862964736
76645-19,Нет модификации,0055230195,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791350,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791350,2023-11-29T00:00:00Z,1784990482870304768
76645-19,Нет модификации,0055230190,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791355,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791355,2023-11-29T00:00:00Z,1784990482904907776
76645-19,Нет модификации,0055230191,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791354,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791354,2023-11-29T00:00:00Z,1784990482912247808
76645-19,Нет модификации,0055230192,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791353,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791353,2023-11-29T00:00:00Z,1784990482918539264
76645-19,Нет модификации,0055230193,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791352,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791352,2023-11-29T00:00:00Z,1784990482925879296
76645-19,Нет модификации,0055230196,2024-11-28T00:00:00Z,С-ДФН/29-11-2023/300791349,Пригодно,ДВН-02,Датчики направления ветра,2023,"ООО ""СТАНДАРТ-12""",True,1-300791349,2023-11-29T00:00:00Z,1784990482946850816
