mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
77386-20,ДВС-01,0046230085,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947608,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947608,2023-12-22T00:00:00Z,1786239568515694592,
77386-20,ДВС-01,0046230083,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947609,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947609,2023-12-22T00:00:00Z,1786239568519888896,
77386-20,ДВС-01,0046230089,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947605,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947605,2023-12-22T00:00:00Z,1786239568527228928,
77386-20,ДВС-01,0046230087,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947606,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947606,2023-12-22T00:00:00Z,1786239568531423232,
77386-20,ДВС-01,0046230092,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947607,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947607,2023-12-22T00:00:00Z,1786239568535617536,
77386-20,ДВС-01,0046230081,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947619,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947619,2023-12-22T00:00:00Z,1786239568596434944,
77386-20,ДВС-01,0046230095,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947615,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947615,2023-12-22T00:00:00Z,1786239568600629248,
77386-20,ДВС-01,0046230094,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947616,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947616,2023-12-22T00:00:00Z,1786239568603774976,
77386-20,ДВС-01,0046230090,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947617,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947617,2023-12-22T00:00:00Z,1786239568607969280,
77386-20,ДВС-01,0046230088,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947618,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947618,2023-12-22T00:00:00Z,1786239568612163584,
77386-20,ДВС-01,0046230078,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947611,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947611,2023-12-22T00:00:00Z,1786239568616357888,
77386-20,ДВС-01,0046230077,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947612,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947612,2023-12-22T00:00:00Z,1786239568619503616,
77386-20,ДВС-01,0046230076,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947613,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947613,2023-12-22T00:00:00Z,1786239568623697920,
77386-20,ДВС-01,0046230086,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947614,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947614,2023-12-22T00:00:00Z,1786239568626843648,
77386-20,ДВС-01,0046230079,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947610,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947610,2023-12-22T00:00:00Z,1786239568638377984,
77386-20,ДВС-01,0046230084,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947622,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947622,2023-12-22T00:00:00Z,1786239568718069760,
77386-20,ДВС-01,0046230082,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947623,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947623,2023-12-22T00:00:00Z,1786239568721215488,
77386-20,ДВС-01,0046230080,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947624,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947624,2023-12-22T00:00:00Z,1786239568725409792,
77386-20,ДВС-01,0046230093,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947620,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947620,2023-12-22T00:00:00Z,1786239568744284160,
77386-20,ДВС-01,0046230091,2024-12-21T00:00:00Z,С-МА/22-12-2023/303947621,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-303947621,2023-12-22T00:00:00Z,1786239568751624192,
77386-20,Нет модификации,0046220039,2024-11-29T00:00:00Z,С-В/30-11-2023/301567215,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567215,2023-11-30T00:00:00Z,1785189953721860096,
77386-20,Нет модификации,0046220041,2024-11-29T00:00:00Z,С-В/30-11-2023/301567216,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567216,2023-11-30T00:00:00Z,1785189953732345856,
77386-20,Нет модификации,0046220191,2024-11-29T00:00:00Z,С-В/30-11-2023/301567223,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567223,2023-11-30T00:00:00Z,1785189954129756160,
77386-20,Нет модификации,0046220194,2024-11-26T00:00:00Z,С-В/27-11-2023/301567278,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567278,2023-11-27T00:00:00Z,1785189953537310720,
77386-20,Нет модификации,0046220154,2024-11-23T00:00:00Z,С-В/24-11-2023/301567294,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567294,2023-11-24T00:00:00Z,1785189954379317248,
77386-20,Нет модификации,0046220152,2024-11-23T00:00:00Z,С-В/24-11-2023/301567295,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567295,2023-11-24T00:00:00Z,1785189954383511552,
77386-20,Нет модификации,0046220148,2024-11-21T00:00:00Z,С-В/22-11-2023/301567320,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567320,2023-11-22T00:00:00Z,1785189956551966720,
77386-20,Нет модификации,0046220025,2024-11-21T00:00:00Z,С-В/22-11-2023/301567321,Пригодно,ДВС-01,Датчики скорости ветра,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-301567321,2023-11-22T00:00:00Z,1785189956571889664,
