mi.mitnumber,mi.modification,mi.number,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,valid_date,sticker_num
72713-18,Нет модификации,0034220191,И-ДФН/14-12-2023/304835328,Непригодно,ДД-02,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",False,1-304835328,2023-12-14T00:00:00Z,1786453459421102080,,
72713-18,Нет модификации,0034210083,С-ДФН/14-12-2023/304835329,Пригодно,ДД-02,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835329,2023-12-14T00:00:00Z,1786453459430539264,2025-12-13T00:00:00Z,
72713-18,Нет модификации,0108190024,И-ДФН/14-12-2023/304835327,Непригодно,ДД-02,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",False,1-304835327,2023-12-14T00:00:00Z,1786453459448365056,,
72713-18,Нет модификации,0030190198,С-ДФН/14-12-2023/304835331,Пригодно,ДД-02,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835331,2023-12-14T00:00:00Z,1786453460897497088,2025-12-13T00:00:00Z,
72713-18,Нет модификации,0030190174,С-ДФН/14-12-2023/304835332,Пригодно,ДД-02,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835332,2023-12-14T00:00:00Z,1786453460905885696,2025-12-13T00:00:00Z,
72713-18,Нет модификации,0034200213,С-ДФН/14-12-2023/304835330,Пригодно,ДД-02,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835330,2023-12-14T00:00:00Z,1786453460917420032,2025-12-13T00:00:00Z,
77385-20,Нет модификации,0034230327,С-ДФН/04-12-2023/304835287,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835287,2023-12-04T00:00:00Z,1786453448087044096,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230326,С-ДФН/04-12-2023/304835288,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835288,2023-12-04T00:00:00Z,1786453448098578432,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230329,С-ДФН/04-12-2023/304835285,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835285,2023-12-04T00:00:00Z,1786453448108015616,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230328,С-ДФН/04-12-2023/304835286,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835286,2023-12-04T00:00:00Z,1786453448145764352,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230325,С-ДФН/04-12-2023/304835289,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835289,2023-12-04T00:00:00Z,1786453448198193152,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230334,С-ДФН/04-12-2023/304835280,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835280,2023-12-04T00:00:00Z,1786453448216018944,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230331,С-ДФН/04-12-2023/304835283,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835283,2023-12-04T00:00:00Z,1786453448232796160,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230330,С-ДФН/04-12-2023/304835284,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835284,2023-12-04T00:00:00Z,1786453448235941888,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230333,С-ДФН/04-12-2023/304835281,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835281,2023-12-04T00:00:00Z,1786453448240136192,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230332,С-ДФН/04-12-2023/304835282,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835282,2023-12-04T00:00:00Z,1786453448243281920,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230336,С-ДФН/04-12-2023/304835278,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835278,2023-12-04T00:00:00Z,1786453448518008832,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230335,С-ДФН/04-12-2023/304835279,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835279,2023-12-04T00:00:00Z,1786453448538980352,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230317,С-ДФН/04-12-2023/304835298,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835298,2023-12-04T00:00:00Z,1786453449862283264,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230316,С-ДФН/04-12-2023/304835299,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835299,2023-12-04T00:00:00Z,1786453449870671872,2024-12-03T00:00:00Z,
77385-20,Нет модификации,0034230318,С-ДФН/04-12-2023/304835297,Пригодно,ДД-04,Датчики атмосферного давления,2023,"ООО ""СТАНДАРТ-12""",True,1-304835297,2023-12-04T00:00:00Z,1786453449886400512,2024-12-03T00:00:00Z,
