mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
67734-17,Нет модификации,0021210181,2024-12-25T00:00:00Z,И-ДФН/26-12-2023/305002591,Непригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",False,1-305002591,2023-12-26T00:00:00Z,1786528218443939840,
67734-17,Нет модификации,0021210305,2024-12-25T00:00:00Z,С-ДФН/26-12-2023/305002592,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-305002592,2023-12-26T00:00:00Z,1786528218505805824,
67734-17,Нет модификации,0021190476,2024-12-25T00:00:00Z,С-ДФН/26-12-2023/305002593,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-305002593,2023-12-26T00:00:00Z,1786528218510000128,
67734-17,Нет модификации,0021200030,2024-12-24T00:00:00Z,С-ДФН/25-12-2023/305002594,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-305002594,2023-12-25T00:00:00Z,1786528218498465792,
67734-17,Нет модификации,0021190402,2024-12-24T00:00:00Z,С-ДФН/25-12-2023/305002595,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-305002595,2023-12-25T00:00:00Z,1786528218502660096,
67734-17,Нет модификации,0021190040,2024-12-24T00:00:00Z,С-ДФН/25-12-2023/308581425,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-308581425,2023-12-25T00:00:00Z,1788249223398948864,
67734-17,Нет модификации,0021220062,2024-12-24T00:00:00Z,С-ДФН/25-12-2023/308581424,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-308581424,2023-12-25T00:00:00Z,1788249223426211840,
67734-17,Нет модификации,0021220062,2024-12-17T00:00:00Z,С-ДФН/18-12-2023/303456016,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-303456016,2023-12-18T00:00:00Z,1785911688656060416,
67734-17,Нет модификации,0021230019,2024-12-14T00:00:00Z,С-ДФН/15-12-2023/303456017,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-303456017,2023-12-15T00:00:00Z,1785911688648720384,
67734-17,Нет модификации,0021230024,2024-12-14T00:00:00Z,С-ДФН/15-12-2023/303456019,Пригодно,ДО-02-02,Датчики осадков,2023,"ООО ""СТАНДАРТ-12""",True,1-303456019,2023-12-15T00:00:00Z,1785911688663400448,
