mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
77387-20,ДТВ-04,0035220062,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835342,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835342,2023-12-21T00:00:00Z,1786453482570514432,
77387-20,ДТВ-04,0035220059,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835343,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835343,2023-12-21T00:00:00Z,1786453482574708736,
77387-20,ДТВ-04,0004190108,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835340,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835340,2023-12-21T00:00:00Z,1786453482578903040,
77387-20,ДТВ-04,0035220042,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835341,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835341,2023-12-21T00:00:00Z,1786453482583097344,
77387-20,ДТВ-04,0004190097,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835339,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835339,2023-12-21T00:00:00Z,1786453482683760640,
77387-20,ДТВ-04-01,0066220030,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835337,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835337,2023-12-21T00:00:00Z,1786453482704732160,
77387-20,ДТВ-04-01,0066220025,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835338,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835338,2023-12-21T00:00:00Z,1786453482716266496,
59064-14,Нет модификации,0004180565,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835335,Пригодно,ДТВ-002,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835335,2023-12-21T00:00:00Z,1786453482783375360,
77387-20,ДТВ-04-01,0066220021,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835336,Пригодно,ДТВ-04,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835336,2023-12-21T00:00:00Z,1786453482786521088,
59064-14,Нет модификации,2013-650,2024-12-20T00:00:00Z,С-ДФН/21-12-2023/304835333,Пригодно,ДТВ-002,Датчики температуры и влажности воздуха,2023,"ООО ""СТАНДАРТ-12""",True,1-304835333,2023-12-21T00:00:00Z,1786453482794909696,
