mi.mitnumber,mi.modification,mi.number,valid_date,result_docnum,result_text,mi.mitype,mi.mititle,verification_year,org_title,applicability,vri_id,verification_date,_version_,sticker_num
23266-06,М-49М,4,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303659183,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303659183,2023-12-20T00:00:00Z,1785980410620018688,
23266-06,М-49М,3,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303659184,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303659184,2023-12-20T00:00:00Z,1785980410634698752,
68118-17,М-49М,38,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303659181,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303659181,2023-12-20T00:00:00Z,1785980410700759040,
68118-17,М-49М,93,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303821135,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303821135,2023-12-20T00:00:00Z,1785996266867523584,
68118-17,М-49М,91,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303821136,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303821136,2023-12-20T00:00:00Z,1785996266883252224,
68118-17,М-49М,92,2024-12-19T00:00:00Z,С-ДЮП/20-12-2023/303821137,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-303821137,2023-12-20T00:00:00Z,1785996266890592256,
68118-17,М-49М,56,,И-МА/19-12-2023/302991759,Непригодно,М-49М,Станции метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",False,1-302991759,2023-12-19T00:00:00Z,1785716593245814784,
68118-17,М-49М,63,2024-12-18T00:00:00Z,С-МА/19-12-2023/302991762,Пригодно,М-49М,Станции метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-302991762,2023-12-19T00:00:00Z,1785716593402052608,
68118-17,М-49М,56,2024-12-18T00:00:00Z,С-МА/19-12-2023/302991761,Пригодно,М-49М,Станции метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-302991761,2023-12-19T00:00:00Z,1785716593408344064,
23266-06,М-49М,13,2024-12-17T00:00:00Z,С-МА/18-12-2023/302890070,Пригодно,М-49М,Станции метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-302890070,2023-12-18T00:00:00Z,1785695961643745280,
23266-06,М-49М,13,,И-МА/18-12-2023/302890066,Непригодно,М-49М,Станции метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",False,1-302890066,2023-12-18T00:00:00Z,1785695961750700032,
23266-06,М-49М,107,2024-12-13T00:00:00Z,С-ДЮП/14-12-2023/301688448,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301688448,2023-12-14T00:00:00Z,1785261217196015616,
68118-17,М-49М,75,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777900,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777900,2023-12-13T00:00:00Z,1785275645735993344,
68118-17,М-49М,5,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777901,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777901,2023-12-13T00:00:00Z,1785275645740187648,
68118-17,М-49М,58,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777959,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777959,2023-12-13T00:00:00Z,1785275645869162496,
68118-17,М-49М,17,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777964,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777964,2023-12-13T00:00:00Z,1785275645958291456,
68118-17,М-49М,69,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777961,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777961,2023-12-13T00:00:00Z,1785275645983457280,
68118-17,М-49М,16,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777962,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777962,2023-12-13T00:00:00Z,1785275645986603008,
23266-06,М-49М,86,2024-12-12T00:00:00Z,С-ДЮП/13-12-2023/301777963,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777963,2023-12-13T00:00:00Z,1785275645990797312,
68118-17,Нет модификации,75,2024-12-12T00:00:00Z,С-В/13-12-2023/302992975,Пригодно,М-49М,Станции метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-302992975,2023-12-13T00:00:00Z,1785717001734324224,
68118-17,Нет модификации,7,2024-12-12T00:00:00Z,С-В/13-12-2023/302992976,Пригодно,М-49М,Станции метеорологические,2023,"ФГУП ""ВНИИМ ИМ. Д.И.МЕНДЕЛЕЕВА""",True,1-302992976,2023-12-13T00:00:00Z,1785717001738518528,
23266-06,М-49М,13,2024-12-10T00:00:00Z,С-МА/11-12-2023/300828399,Пригодно,М-49М,Станции метеорологические,2023,"ФБУ ""РОСТЕСТ-МОСКВА""",True,1-300828399,2023-12-11T00:00:00Z,1784995403174772736,
68118-17,М-49М,70,2024-12-06T00:00:00Z,С-ДЮП/07-12-2023/301777958,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-301777958,2023-12-07T00:00:00Z,1785275645864968192,
23266-06,нет модификации,46,2024-12-04T00:00:00Z,С-ВИУ/05-12-2023/299396928,Пригодно,М-49М,Станции метеорологические,2023,ФГБУ «Башкирское УГМС»,True,1-299396928,2023-12-05T00:00:00Z,1784455636627488768,
68118-17,М-49М,58,2024-12-03T00:00:00Z,С-БАГ/04-12-2023/299761086,Пригодно,М-49М,Станции метеорологические,2023,"ФГБУ ""ГГО""",True,1-299761086,2023-12-04T00:00:00Z,1784545155147104256,
68118-17,М-49М,12,2024-12-03T00:00:00Z,С-БТЦ/04-12-2023/300726564,Пригодно,М-49М,Станции метеорологические,2023,"ФГБУ ""ЦЕНТРАЛЬНОЕ УГМС""",True,1-300726564,2023-12-04T00:00:00Z,1784984114065047552,
23266-06,М-49М,62,2024-11-28T00:00:00Z,С-ДЮП/29-11-2023/298017916,Пригодно,М-49М,Станции метеорологические,2023,ООО «ПРОММАШ ТЕСТ МЕТРОЛОГИЯ»,True,1-298017916,2023-11-29T00:00:00Z,1783918181312626688,
